name,count
Korhonen,22399
Virtanen,21878
Mäkinen,20083
Nieminen,19890
Mäkelä,18907
Hämäläinen,18199
Laine,17865
Heikkinen,17324
Koskinen,17035
Järvinen,16030
Lehtonen,15820
Lehtinen,14913
Saarinen,14690
Salminen,14476
Heinonen,14298
Niemi,14181
Heikkilä,14131
Kinnunen,13896
Salonen,13706
Turunen,13209
Salo,12891
Laitinen,12600
Tuominen,12376
Rantanen,12307
Karjalainen,12293
Jokinen,12049
Mattila,11886
Savolainen,11073
Lahtinen,10973
Ahonen,10832
Ojala,10646
Leppänen,10607
Kallio,9966
Väisänen,9954
Hiltunen,9946
Leinonen,9899
Miettinen,9882
Pitkänen,9793
Aaltonen,9781
Manninen,9696
Koivisto,9542
Hakala,9539
Anttila,9502
Laaksonen,9120
Hirvonen,9002
Räsänen,8980
Lehto,8942
Laakso,8822
Toivonen,8766
Rantala,8637
Mustonen,8633
Aalto,8550
Peltonen,8334
Nurmi,8332
Niemelä,8296
Moilanen,8272
Pulkkinen,8143
Seppälä,8131
Hänninen,8110
Lappalainen,7908
Saari,7902
Kettunen,7876
Partanen,7859
Kauppinen,7692
Kemppainen,7690
Koskela,7631
Seppänen,7594
Lahti,7570
Salmi,7553
Ahola,7546
Huttunen,7373
Ikonen,7281
Aho,7249
Suominen,7239
Kärkkäinen,7204
Pesonen,7145
Halonen,7098
Nyman,6999
Koponen,6967
Mikkonen,6962
Johansson,6930
Peltola,6925
Oksanen,6849
Lindholm,6846
Niskanen,6837
Vainio,6810
Heiskanen,6762
Mikkola,6697
Immonen,6587
Honkanen,6577
Koski,6572
Nurminen,6472
Vuorinen,6461
Harju,6423
Kokkonen,6349
Määttä,6326
Rissanen,6277
Karppinen,6247
Mäki,6178
Laukkanen,6075
Heino,6041
Rajala,6023
Juntunen,6015
Jääskeläinen,5941
Rautiainen,5923
Parviainen,5912
Kangas,5893
Keränen,5877
Hartikainen,5850
Paananen,5782
Karlsson,5720
Leino,5709
Mäenpää,5671
Lindström,5608
Ruotsalainen,5608
Martikainen,5583
Hyvärinen,5519
Hakkarainen,5510
Uusitalo,5473
Kokko,5449
Laurila,5428
Tikkanen,5404
Toivanen,5390
Viitanen,5364
Nevalainen,5352
Salmela,5229
Leskinen,5201
Nykänen,5200
Makkonen,5183
Häkkinen,5094
Holopainen,5092
Kuusisto,5075
Hietala,5010
Tamminen,4971
Eriksson,4955
Ranta,4951
Korpela,4949
Härkönen,4948
Andersson,4944
Kukkonen,4893
Hyvönen,4874
Jaakkola,4829
Karvonen,4826
Karhu,4822
Pasanen,4799
Jokela,4781
Tiainen,4770
Väänänen,4707
Saarela,4664
Kosonen,4661
Sillanpää,4612
Malinen,4598
Rautio,4574
Kujala,4572
Virta,4544
Lindroos,4501
Timonen,4481
Autio,4462
Lindqvist,4435
Kivelä,4430
Valtonen,4383
Kolehmainen,4362
Hokkanen,4357
Lampinen,4349
Jussila,4338
Räisänen,4337
Rinne,4317
Tolonen,4303
Nissinen,4253
Huhtala,4229
Nousiainen,4212
Eskelinen,4160
Vartiainen,4150
Koivula,4128
Laakkonen,4105
Asikainen,4067
Lindberg,4052
Lepistö,4049
Koistinen,4032
Kuusela,4003
Liimatainen,3942
Luoma,3939
Pelkonen,3928
Kyllönen,3896
Hautala,3885
Kulmala,3884
Tolvanen,3873
Tuovinen,3851
Helenius,3813
Pietilä,3811
Koivunen,3798
Penttinen,3791
Huotari,3771
Viljanen,3771
Voutilainen,3770
Pennanen,3742
Hyttinen,3740
Hietanen,3735
Suhonen,3730
Riikonen,3729
Luukkonen,3725
Marttila,3725
Pakarinen,3685
Repo,3675
Järvenpää,3658
Takala,3657
Ketola,3653
Haavisto,3646
Nuutinen,3646
Karttunen,3637
Kumpulainen,3633
Lindgren,3598
Ronkainen,3598
Eronen,3572
Haapala,3560
Eskola,3559
Eklund,3556
Myllymäki,3544
Lehtimäki,3539
Auvinen,3526
Penttilä,3518
Saastamoinen,3498
Kainulainen,3495
Huovinen,3493
Vuori,3453
Liukkonen,3448
Paavola,3443
Helin,3416
Juvonen,3416
Komulainen,3381
Hautamäki,3357
Keskinen,3349
Viitala,3337
Taskinen,3313
Kivimäki,3312
Markkanen,3305
Ollikainen,3291
Ollila,3289
Silvennoinen,3273
Tuomi,3273
Lähteenmäki,3260
Suomalainen,3256
Rintala,3254
Perälä,3228
Sipilä,3226
Välimäki,3221
Kähkönen,3213
Kuosmanen,3196
Gustafsson,3183
Halme,3170
Nylund,3146
Lehtola,3144
Kortelainen,3136
Blomqvist,3135
Turpeinen,3114
Kantola,3112
Hannula,3111
Tanskanen,3108
Matilainen,3096
Hytönen,3078
Lindfors,3064
Meriläinen,3063
Matikainen,3024
Jalonen,2996
Helminen,2975
Holm,2966
Jansson,2964
Kivistö,2943
Ylitalo,2929
Kanerva,2922
Rytkönen,2920
Alatalo,2917
Tervo,2909
Varis,2902
Puhakka,2895
Soininen,2894
Henriksson,2879
Väyrynen,2873
Kiviniemi,2863
Erkkilä,2859
Pääkkönen,2849
Kurki,2838
Tarvainen,2837
Pajunen,2827
Ojanen,2823
Karvinen,2820
Rauhala,2820
Taipale,2819
Nyberg,2801
Puustinen,2801
Laiho,2786
Berg,2778
Kilpeläinen,2778
Mäntylä,2773
Oinonen,2742
Lassila,2734
Lehikoinen,2733
Kuisma,2731
Mattsson,2723
Peltoniemi,2722
Kankaanpää,2719
Tikka,2711
Piirainen,2702
Backman,2690
Räty,2686
Pirinen,2672
Haapanen,2671
Jaatinen,2656
Niiranen,2655
Kivinen,2648
Lipponen,2623
Parkkinen,2618
Jauhiainen,2617
Kärki,2610
Haverinen,2606
Pohjola,2606
Korpi,2602
Moisio,2586
Kauppila,2570
Keinänen,2561
Kaikkonen,2558
Valkonen,2554
Venäläinen,2546
Vesterinen,2545
Jäntti,2540
Ylönen,2540
Ruuskanen,2532
Raatikainen,2519
Haataja,2514
Mononen,2501
Sainio,2497
Holmberg,2477
Rossi,2473
Anttonen,2461
Järvelä,2453
Nikula,2447
Syrjälä,2444
Holmström,2427
Kovanen,2423
Tirkkonen,2422
Pekkala,2398
Ahokas,2390
Pehkonen,2387
Huuskonen,2360
Lilja,2359
Karhunen,2357
Palomäki,2354
Männistö,2338
Vuorela,2337
Sallinen,2334
Latvala,2332
Kuronen,2327
Valkama,2326
Oikarinen,2325
Konttinen,2323
Seppä,2322
Tiihonen,2309
Muhonen,2302
Elo,2299
Kämäräinen,2296
Linna,2296
Sirén,2296
Alanko,2295
Sjöblom,2272
Alanen,2271
Salomaa,2256
Reinikainen,2254
Ryynänen,2249
Simola,2246
Riihimäki,2241
Sirviö,2237
Soini,2228
Rönkkö,2227
Keskitalo,2224
Kiuru,2223
Eloranta,2219
Pekkarinen,2214
Lammi,2212
Marttinen,2210
Forsman,2199
Kari,2194
Airaksinen,2185
Pöllänen,2184
Nevala,2179
Haapaniemi,2168
Järvi,2165
Antikainen,2152
Holappa,2149
Aro,2142
Ylinen,2137
Uotila,2136
Puranen,2133
Simonen,2133
Grönroos,2132
Sutinen,2127
Ihalainen,2126
Lankinen,2117
Sihvonen,2116
Kauppi,2097
Tähtinen,2093
Aarnio,2084
Toivola,2082
Snellman,2081
Paavilainen,2073
Kalliokoski,2071
Joensuu,2065
Kauhanen,2054
Lehti,2052
Virolainen,2043
Kiiskinen,2037
Sivonen,2032
Sundström,2022
Törmänen,2006
Sormunen,2005
Eerola,2004
Luoto,2004
Friman,2003
Hassinen,2002
Luostarinen,2002
Koivuniemi,2000
Westerlund,1989
Ruohonen,1988
Suvanto,1974
Kotilainen,1957
Nordström,1952
Tuomisto,1951
Nenonen,1933
Ruuska,1929
Koljonen,1915
Sinkkonen,1911
Tervonen,1910
Nygård,1909
Kiiski,1904
Sorsa,1904
Laamanen,1901
Pietikäinen,1899
Rajamäki,1896
