name,count
Juhani,287225
Olavi,143927
Antero,139253
Tapani,136637
Johannes,135276
Tapio,116170
Mikael,103632
Kalevi,96598
Matti,81189
Pekka,79207
Petteri,73446
Ilmari,70756
Sakari,65083
Matias,63847
Antti,56021
Juha,54262
Kristian,53095
Heikki,52238
Timo,49288
Mikko,45517
Kari,45272
Markus,43445
Jari,40668
Jukka,40372
Aleksi,39958
Markku,39101
Kalervo,38898
Jaakko,38332
Oskari,37220
Petri,36987
Mika,36575
Henrik,35685
Lauri,35447
Veikko,34700
Hannu,34428
Erkki,34111
Seppo,33325
Ville,33242
Valtteri,30311
Janne,30005
Ari,29943
Ensio,29881
Marko,29635
Pentti,28228
Tuomas,28157
Sami,27748
Juho,26692
Eero,25757
Elias,25602
Martti,25103
Erik,25046
Jani,24136
Samuli,23545
Jorma,23402
Eemeli,23009
Onni,22497
Jussi,22487
Harri,22144
Teemu,21759
Risto,21481
Raimo,20604
Eino,20548
Jarmo,20476
Veli,20461
Pertti,20008
Esa,19959
Samuel,19719
Pasi,19313
Jouni,19125
Esko,18982
Arto,18916
Niko,18539
Olli,18429
Vesa,18286
Joonas,18196
Jouko,18111
Kalle,18019
Viljami,17780
Reijo,17754
Toni,17588
Paavo,17485
Toivo,17357
Emil,17047
Armas,16897
Johan,16628
Santeri,16498
Leo,16486
Kimmo,16138
Tomi,16107
Oliver,15985
Henri,15554
Joni,15339
Väinö,15313
Eetu,15056
Tommi,15051
Tero,15000
Daniel,14511
Ilkka,14451
Pauli,14222
Sebastian,14026
Otto,13965
Alexander,13759
Ilari,13643
Uolevi,13072
Anton,13051
Eemil,12999
Aleksanteri,12796
Tuomo,12729
Jarkko,12563
Jalmari,12443
Aulis,12313
Jesse,12300
Joona,12076
Akseli,11455
Vilho,10913
Arttu,10867
Jere,10759
Simo,10727
Benjamin,10692
Juuso,10624
Allan,10556
Einari,10477
Julius,10446
Joel,10389
Christian,10293
Keijo,10239
Kullervo,10233
Lasse,10225
Niilo,10191
Leevi,9999
Jyrki,9951
Niklas,9856
Reino,9812
Kauko,9639
Aukusti,9619
Mauri,9616
Kaarlo,9550
Jan,9540
Kai,9135
Elmeri,9117
Aarne,8972
Aki,8873
Artturi,8848
Juhana,8842
Miika,8772
Riku,8549
Yrjö,8507
Rasmus,8442
Karl,8325
Veeti,8257
Topias,8086
Peter,8074
Hermanni,8029
Jarno,7927
Tauno,7861
Eerik,7737
Aatos,7731
Rauno,7686
Teuvo,7680
Joonatan,7651
Aaro,7638
Vilhelm,7393
Ossi,7391
Arvo,7160
Viljo,7152
Patrik,7148
Robert,7106
Valdemar,6989
Osmo,6937
Veijo,6912
Anssi,6882
Ismo,6879
Taisto,6871
Roope,6814
Rainer,6807
Eelis,6678
Henry,6657
Anders,6656
Atte,6649
Aaron,6360
Asko,6296
Aimo,6289
Miro,6257
Aapo,6244
Henrikki,6136
Taneli,6104
Samu,6004
Kasper,5964
Oskar,5851
Oiva,5837
Edvard,5787
Lassi,5773
Verneri,5697
Iisakki,5666
Tuukka,5646
Alex,5633
Kim,5549
Ahti,5546
Mauno,5443
Rafael,5387
Aarre,5384
Andreas,5377
Vihtori,5328
Lars,5292
Kasperi,5261
Topi,5258
Kustaa,5238
August,5199
Vili,5194
Wilhelm,5186
Aatu,5066
Urho,5056
Albert,5042
Fredrik,5039
Miikka,5033
Konsta,4987
Tarmo,4963
Jimi,4954
Alpo,4856
Sulo,4829
Nikolai,4769
Roni,4758
Joakim,4727
Max,4721
Eeli,4690
Tatu,4639
Herman,4633
Unto,4601
Ilpo,4571
Veikka,4543
Michael,4526
Alvar,4524
Sauli,4520
Jyri,4490
William,4449
Iivari,4420
Carl,4410
Hugo,4355
Gustav,4354
Saku,4344
Kyösti,4343
Kaj,4323
Severi,4297
Tom,4277
Gunnar,4242
Veli-Matti,4035
Rikhard,4026
Otso,3875
Iiro,3858
Heimo,3845
Thomas,3796
Martin,3790
Hans,3789
Lenni,3789
Pyry,3754
John,3747
Axel,3723
Rami,3684
Voitto,3684
Jonne,3679
Frans,3672
Pietari,3646
Jeremias,3580
Viktor,3576
Arvi,3559
Miska,3551
Hannes,3520
Oscar,3519
Pellervo,3493
Gabriel,3465
Sampo,3441
Paul,3371
Olof,3370
Jami,3366
Juha-Pekka,3343
Harry,3293
Luka,3275
Teppo,3266
Stefan,3256
Göran,3231
Leif,3230
Nico,3213
Aku,3211
Noel,3205
Luukas,3140
Nils,3122
Aleksander,3062
Edvin,3052
Jukka-Pekka,3051
Nooa,3008
Miko,3000
Tony,2966
Perttu,2933
Tomas,2927
Jasper,2922
Päiviö,2907
Arvid,2889
Anselmi,2874
Santtu,2821
Alfred,2813
Robin,2805
Paavali,2799
Aarno,2798
Jonas,2751
Veli-Pekka,2739
Krister,2719
Lucas,2716
Nestori,2693
Richard,2677
Eliel,2642
Nuutti,2620
Aarni,2619
Untamo,2602
Ali,2590
Eljas,2568
Christer,2556
Panu,2536
Urpo,2495
Peetu,2486
Terho,2476
Marcus,2472
Mathias,2465
Klaus,2459
Magnus,2455
Sisu,2455
Eerikki,2449
Jonathan,2447
Viljam,2439
Sven,2421
Patrick,2414
Eevert,2412
Lukas,2411
Waltteri,2408
Lennart,2407
Mohamed,2407
Jesper,2380
Juha-Matti,2341
Olli-Pekka,2288
Aapeli,2284
Kenneth,2279
Bengt,2242
Mattias,2209
Kaleva,2204
Ossian,2198
Reima,2189
Evert,2184
Ukko,2184
Stig,2158
Justus,2137
Alarik,2125
Tino,2123
Kaapo,2120
Teijo,2111
Rolf,2057
Mats,2045
Antton,2037
Einar,2008
Felix,1982
Lari,1982
Eric,1950
David,1945
Petter,1940
Tobias,1934
Luca,1930
Taavi,1914
Tommy,1907
Anttoni,1894
Kurt,1888
Asser,1880
Manu,1880
Elmo,1871
Per,1841
Taavetti,1828
Jooa,1818
Leonard,1800
Karri,1794
Håkan,1792
Aleksis,1758
Tenho,1742
Ari-Pekka,1731
Valter,1724
Verner,1714
Simon,1705
Eemi,1694
Erno,1690
Björn,1688
Roger,1688
Gustaf,1686
Bo,1676
Touko,1667
Åke,1665
Helge,1657
Jonatan,1643
Ralf,1643
Adam,1642
Jori,1622
Kaarle,1620
Valentin,1608
Ahmed,1591
Jerry,1583
Jalo,1582
Vertti,1582
Victor,1558
Nikolas,1541
Kimi,1537
Heino,1535
Sulevi,1534
Kosti,1519
Aslak,1509
