name;count
Juha;45067
Timo;44991
Matti;43517
Kari;40622
Mikko;38765
Jari;38103
Antti;38055
Jukka;34287
Mika;33689
Markku;33308
Pekka;32638
Hannu;30304
Heikki;29475
Seppo;28218
Janne;27676
Ari;27169
Sami;26324
Ville;25788
Marko;25207
Petri;24221
Lauri;23397
Jani;22830
Erkki;22118
Pentti;21435
Jorma;20743
Teemu;20332
Harri;20077
Eero;18977
Jarmo;18705
Jaakko;18637
Raimo;18472
Risto;18358
Jussi;18126
Pasi;18100
Juho;17235
Esa;17137
Niko;16894
Toni;16772
Pertti;16768
Jouni;16767
Martti;16433
Arto;16364
Reijo;16057
Markus;15853
Veikko;15632
Tomi;15513
Vesa;15477
Tuomas;15415
Aleksi;15380
Jouko;15285
Olli;15252
Kimmo;14828
Esko;14665
Joni;14549
Tommi;14378
Tero;13946
Joonas;13175
Henri;12692
Eetu;12511
Leo;11849
Kalle;11468
Ilkka;11371
Jarkko;11367
Paavo;11099
Jesse;11033
Pauli;10811
Joona;10653
Eino;10649
Tuomo;10602
Elias;10303
Jere;9909
Mikael;9836
Tapio;9816
Juuso;9590
Matias;9469
Onni;9437
Veli;9424
Keijo;8905
Arttu;8894
Simo;8883
Jyrki;8789
Lasse;8602
Leevi;8575
Juhani;8143
Aki;8072
Joel;7930
Kai;7906
Riku;7891
Väinö;7842
Niklas;7800
Mauri;7789
Toivo;7767
Otto;7678
Miika;7468
Jarno;7324
Daniel;7277
Kauko;7158
Veeti;7154
Niilo;7151
Jan;7064
Reino;7054
Valtteri;6981
Rauno;6850
Teuvo;6589
Rasmus;6551
Roope;6161
Ossi;6141
Olavi;6068
Santeri;5936
Ismo;5916
Anton;5836
Oliver;5827
Veijo;5805
Oskari;5795
Anssi;5763
Atte;5692
Tauno;5671
Aaro;5560
Miro;5557
Vilho;5488
Osmo;5423
Asko;5349
Samuli;5335
Samu;5309
Kalevi;5261
Emil;5240
Samuel;5233
Aapo;5224
Tuukka;5046
Lassi;4972
Kim;4931
Aimo;4760
Taisto;4725
Eemeli;4654
Julius;4565
