name,count
Juhani,279082
Olavi,137859
Antero,137338
Tapani,132501
Johannes,131294
Tapio,106354
Mikael,93796
Kalevi,91337
Petteri,70893
Ilmari,68634
Sakari,61119
Matias,54378
Kristian,49600
Pekka,46569
Matti,37672
Kalervo,37450
Oskari,31425
Henrik,31404
Ensio,29348
Markus,27592
Aleksi,24578
Valtteri,23330
Heikki,22763
Erik,20981
Jaakko,19695
Veikko,19068
Eemeli,18355
Samuli,18210
Antti,17966
Armas,15982
Elias,15299
Samuel,14486
Viljami,14148
Onni,13060
Uolevi,12927
Petri,12766
Tuomas,12742
Johan,12064
Lauri,12050
Aleksanteri,12035
Erkki,11993
Jalmari,11901
Emil,11807
Ilari,11183
Alexander,11104
Sebastian,11070
Veli,11037
Santeri,10562
Oliver,10158
Kullervo,10090
Einari,10078
Eino,9899
Allan,9658
Toivo,9590
Aulis,9487
Juho,9457
Eemil,9246
Juha,9195
Aukusti,9178
Martti,8670
Christian,8348
Artturi,7839
Juhana,7704
Hermanni,7487
Väinö,7471
Ville,7454
Akseli,7258
Daniel,7234
Benjamin,7231
Vilhelm,7220
Anton,7215
Valdemar,6872
Elmeri,6871
Pentti,6793
Eero,6780
Mikko,6752
Eerik,6661
Kalle,6551
Paavo,6386
Otto,6287
Jukka,6085
Henrikki,5984
Kaarlo,5947
Julius,5881
Markku,5793
Joonatan,5772
Aatos,5703
Edvard,5508
Vilho,5425
Iisakki,5382
Kustaa,5109
Seppo,5107
Vihtori,5034
Joonas,5021
Topias,4997
August,4891
Anders,4889
Wilhelm,4867
Rafael,4791
Peter,4768
Aarne,4763
Rainer,4741
Taneli,4729
Kari,4650
Leo,4637
Verneri,4465
Marko,4428
Jussi,4361
Herman,4335
Esko,4317
Timo,4297
Nikolai,4252
Robert,4242
Albert,4241
Karl,4132
Hannu,4124
Yrjö,3942
Gustav,3924
Oskar,3897
Andreas,3849
Fredrik,3830
Rikhard,3765
Gunnar,3762
Iivari,3761
Aarre,3641
Kasperi,3575
Aaron,3536
Arvo,3524
Pellervo,3457
Eelis,3421
Pauli,3411
Michael,3343
Patrik,3270
Viljo,3249
Pertti,3240
Olli,3177
Pietari,3149
Risto,3123
Olof,3100
Ilkka,3080
Niilo,3040
Joakim,2954
Mika,2886
William,2885
Päiviö,2866
Henri,2862
Jouko,2826
Esa,2822
Alvar,2810
Vesa,2809
Gabriel,2796
Jeremias,2783
Ari,2774
Reino,2758
Paavali,2751
Aleksander,2746
Jorma,2659
Anselmi,2632
Arvid,2592
Jari,2565
Untamo,2562
Severi,2556
Arto,2552
Eetu,2545
Alfred,2508
Göran,2500
Kauko,2481
Jan,2476
Joel,2459
Henry,2388
Jouni,2358
Urho,2357
Nestori,2343
Eerikki,2340
Janne,2329
Viktor,2324
Oiva,2316
Martin,2298
Sulo,2274
Veikka,2250
Kasper,2248
Tauno,2190
Kaleva,2159
Carl,2149
Taisto,2146
Raimo,2132
Tuomo,2127
Viljam,2126
Lennart,2101
Eljas,2097
Axel,2087
Aaro,2078
Harri,2067
Niklas,2056
Alarik,2040
Ossian,2030
Frans,2025
Edvin,2018
Richard,2011
Arttu,1973
Arvi,1958
Krister,1902
Evert,1892
Rasmus,1891
Eevert,1848
Simo,1844
Oscar,1835
Mattias,1834
Mauri,1827
Lars,1806
Aapeli,1797
Ahti,1793
Hannes,1783
Jarmo,1771
Eliel,1761
Einar,1728
Taavetti,1723
Reijo,1697
Petter,1675
Waltteri,1659
John,1656
Alex,1654
Niko,1645
Christer,1644
Lasse,1623
Asser,1602
Leonard,1598
Anttoni,1579
Aimo,1529
Magnus,1525
Gustaf,1521
Osmo,1514
Hugo,1512
Stefan,1487
Paul,1474
Aleksis,1471
Mathias,1462
Voitto,1462
Verner,1447
Valentin,1430
Mauno,1427
Teemu,1427
Leevi,1424
Sami,1424
Joona,1423
Bernhard,1407
Sulevi,1393
Vili,1362
Ukko,1357
Alpo,1346
Keijo,1334
Unto,1334
Kimmo,1310
Salomon,1309
Eric,1306
Jani,1306
Miika,1304
Antton,1298
Mohamed,1269
Jesse,1267
Valter,1266
Håkan,1253
Ossi,1250
Aslak,1241
Kai,1229
Pasi,1213
Thomas,1212
Jarkko,1196
Jonathan,1192
Waldemar,1188
Birger,1180
Edward,1177
Eeli,1175
Väinämö,1175
Nils,1165
Jyrki,1162
Kyösti,1162
Åke,1146
Albin,1136
Patrick,1134
Harald,1131
Anssi,1119
Ali,1110
Veijo,1107
Veeti,1103
Teuvo,1091
Vilhelmi,1082
Hans,1076
Tero,1054
Ingmar,1052
Harry,1047
Alvari,1036
Juuso,1034
Aapo,1020
Aatu,1005
Adolf,1002
Otso,973
Elis,965
Ismo,963
Emanuel,961
Rudolf,960
Atte,957
Uljas,953
Arthur,952
Asko,947
Marcus,947
Christoffer,932
Sven,924
Aarno,920
Jonatan,919
Kenneth,913
David,903
Kaarle,898
Iisak,894
Ahmed,886
Georg,882
Heimo,881
Tobias,878
Jooseppi,877
Pyry,877
Kristoffer,876
Miikka,875
Roger,870
Hjalmar,859
Jere,850
Kasimir,845
Viking,845
Rauno,836
Eevertti,833
Sisu,833
Ilpo,820
Toni,816
James,809
Tarmo,809
Topi,804
Aki,801
Lassi,801
Nikolas,801
Kaj,799
Ragnar,797
Jesper,793
Helmer,792
Joni,790
Aarni,785
Felix,779
Jalo,761
Yrjänä,760
Luukas,757
Leander,750
Miikkael,748
Jasper,746
Holger,735
Sakarias,735
Asseri,733
Valfrid,728
Cristian,722
Leif,720
Helge,717
Arne,714
Torsten,713
Sauli,712
Max,710
Bertel,709
Osvald,702
Miro,700
Antinpoika,697
Antonio,695
Samu,695
Victor,694
Simeon,692
Christopher,689
Konstantin,681
Wiljami,674
Tommi,673
Benjam,668
Mats,666
Riku,658
Teodor,656
Tomas,655
Aku,654
Roope,653
Isak,650
Walter,649
Adam,646
Lucas,642
Anselm,640
Olav,636
Ferdinand,634
Per,632
Nuutti,629
Taavi,624
André,622
Mauritz,620
Noel,620
Kim,618
Miikael,618
Veli-Matti,615
Konsta,612
Börje,604
Jarno,603
Tuukka,600
Iiro,599
Alfons,598
Tomi,594
Arimo,593
Erland,593
Immanuel,592
Otava,591
Jonas,590
Ole,588
Valtter,585
Ivar,583
Klaus,583
Benjami,581
Artur,577
Ylermi,576
Manuel,571
Matinpoika,569
Maximilian,569
Perttu,558
Juhanpoika,554
Evald,553
Nicolas,550
Adrian,548
Teppo,543
Anthony,542
Jarl,539
Jimi,537
Jakob,527
Aksel,522
Aatto,519
Bengt,517
Elmer,515
Herbert,512
Runar,511
Elliot,507
Stig,506
Sylvester,503
Lenni,499
Tatu,498
Micael,494
Rolf,494
Nooa,493
Jeremia,491
Nicholas,491
Reinhold,491
Nestor,486
Elia,480
Justus,480
Kurt,478
Mikonpoika,478
Saku,476
Esaias,473
Eugen,472
Ove,472
Kosti,470
Uuno,470
Sameli,469
Valo,469
Terho,468
Björn,465
Iikka,465
Petrus,464
Vincent,463
Veli-Pekka,462
Lukas,461
Bo,457
Hassan,456
Miko,452
Simon,451
Salomo,449
Aatami,445
Arnold,443
Bertil,443
Ingemar,443
Kaspian,443
Werner,443
Fabian,442
Urpo,442
Dan,441
Marius,439
Luka,434
Roland,431
Heino,426
Raineri,425
Dimitri,424
Jesperi,423
Abdi,421
Mainio,421
Robin,421
Ben,419
Aadolf,418
Eemi,415
Jyri,414
Casimir,413
Sampo,413
Tom,413
Casper,412
Helmeri,411
Villiam,408
Elmo,406
Ilmo,406
Gösta,405
Hilding,399
Timonpoika,399
Bror,397
Tenho,397
Filip,395
Taito,395
Torvald,394
Hemming,393
Tuure,393
Zacharias,393
Hemminki,392
Jan-Erik,391
Alf,389
Manu,382
Jukanpoika,379
Jörgen,378
Auvo,377
Theodor,377
Augusti,375
Sigurd,367
Leon,366
Wiljam,366
Joachim,365
Ernst,364
Julian,358
Kaapo,358
Heikinpoika,357
Ludvig,356
Jonne,354
Pekanpoika,353
Jalmar,352
Jooa,350
Usko,350
Yngve,349
Jarinpoika,347
Reima,347
Romeo,342
Tor,337
Aleksei,336
Charles,334
Torbjörn,334
Touko,332
Miska,330
Abraham,329
Luca,328
Valto,327
Ruben,324
Ibrahim,321
Bjarne,317
Santtu,317
Torolf,317
Nikodemus,316
Paulus,315
Altti,314
Joseph,309
Rune,308
Bruno,306
Into,306
Ralf,306
Ernesti,305
Jami,303
Nico,299
Urmas,299
Sigfrid,295
Omar,294
Maurits,293
Valio,293
Aron,291
Andrew,289
Akusti,288
Hannunpoika,288
Karinpoika,288
Vertti,288
Philip,287
Ingvald,281
Ulf,281
Maximus,279
Leopold,275
Aamos,274
Mohammed,273
Abdullahi,272
Josef,271
Boris,270
Ingvar,270
George,269
Joosua,269
Konrad,264
Junior,259
Tommy,259
Kusti,258
Roni,258
Torsti,257
Jussinpoika,256
Kristofer,256
Teijo,256
Jean,255
Adiel,252
Amos,251
Jacob,251
Niclas,251
Hussein,250
Andrei,248
Tony,246
Werneri,246
Matts,245
Milo,243
Amadeus,240
Isto,240
Karl-Johan,238
Markunpoika,237
Mikanpoika,236
Gerhard,235
Rami,235
Edwin,233
Karri,233
Lari,228
Tino,225
Jannenpoika,224
Folke,223
Raine,223
Karl-Erik,222
Erno,220
Alexis,219
Elo,219
Eskil,219
Sigvard,219
Hemmo,218
Linus,218
Elof,217
Lee,217
Matteus,216
Sammeli,215
Arinpoika,212
Jens,212
Villehard,211
Arttur,210
Raymond,210
Tiitus,210
Iivo,209
Okko,208
Raafael,208
Kjell,207
Emmanuel,203
Jaakoppi,203
Sixten,203
Uno,203
Oula,202
Ernest,201
Singh,201
Frank,200
Fjalar,199
Jaakonpoika,199
Mio,199
Noah,198
Rurik,197
Mohamud,195
Roy,195
Mico,194
Selim,193
Feliks,191
Rickhard,190
Valde,190
Johnny,189
Leonardo,189
Maunu,189
Mårten,189
Visa,189
Rickard,188
Aappo,187
Gottfrid,187
Marco,186
Atso,184
Kauno,184
Ola,184
Orvo,181
Petrinpoika,180
Harrinpoika,179
Mahamed,177
Kaino,175
Aaretti,174
Elvis,174
Tage,174
Dennis,173
Aate,171
Juha-Pekka,171
Edgar,169
Knut,169
Pekko,169
Abdirahman,168
Ahmad,168
Emilio,168
Peetu,168
Ilo,166
Antto,165
Sten,165
Mario,164
Toimi,164
Noa,163
Ollinpoika,163
Villenpoika,162
Kevin,161
Panu,161
Ariel,160
Filemon,160
Markonpoika,160
Osman,160
René,160
Sture,160
Gideon,159
Henning,159
Rauli,159
Jaakkima,157
Jon,157
Malakias,157
Arno,155
Guy,155
Ilja,155
Jerry,155
Johann,155
Sampsa,155
Erkka,153
Ivan,153
Joose,153
Louis,153
Liam,152
Michel,152
Svante,152
Aleks,151
Ronald,151
Jasperi,150
Joshua,150
Levi,150
Matthias,150
Vidar,150
Alan,149
Karl-Gustav,149
Severin,149
Abdulkadir,148
Matthew,148
Teo,148
Venni,147
Aarto,146
Alberto,146
Algot,146
Alexi,145
Jiri,145
Aaprami,144
Hemmi,144
Mark,144
Alpertti,143
Dominic,143
Yusuf,143
Abel,142
Ismail,142
Jose,142
Kimi,142
Mohammad,142
Patric,142
Sune,142
Carlos,141
Saminpoika,141
Efraim,140
Amin,139
Karim,139
Erkinpoika,138
Francis,138
Kaius,138
Said,138
Juha-Matti,136
Pontus,136
Timoteus,136
Vesanpoika,136
Jori,135
Sanfrid,134
Hermann,133
Jousia,133
Jouninpoika,132
Kent,132
Mertsi,132
Ohto,132
Klas,131
Lars-Erik,131
Osku,131
Roberto,131
Andre,130
Olli-Pekka,130
Berndt,129
Fridolf,129
Kennet,129
Myrsky,128
Nicklas,128
Ristonpoika,128
Soini,128
Carl-Johan,126
Engelbert,126
Ragnvald,126
Thor,126
Waltter,126
Ilkanpoika,125
Jare,125
Brynolf,124
Laurinpoika,124
Luis,124
Sören,124
Valentino,124
Simeoni,123
Emerik,122
Vilpas,122
Vilppu,122
Miguel,121
Niila,121
Nikanor,121
Alejandro,120
Pasinpoika,120
Per-Erik,120
Sergei,120
Eeronpoika,119
Esanpoika,117
Israel,116
Neo,115
Timi,115
Akilles,113
Aleksandr,113
Antoni,113
Juhan,113
Alexandre,112
Jaakob,112
Jimmy,112
Minh,112
Staffan,112
Ture,112
Greger,111
Ricardo,111
Wilhelmi,111
Eenokki,110
Mihail,110
Wäinö,110
Tim,109
Andres,108
Eppu,108
Oswald,108
Abdullah,107
Jukka-Pekka,107
Kuisma,107
Martinpoika,107
Rikard,107
Thorvald,107
Erling,106
Ian,106
Seponpoika,106
Tuomaanpoika,106
Wille,106
Aake,105
Arsi,105
Elian,105
Niki,105
Olle,105
Veini,105
Angelo,104
Isidor,104
Sven-Erik,104
Alvin,102
Eeti,102
Lionel,102
Matteo,102
Natanael,102
Daavid,101
Juhaninpoika,100
Teronpoika,100
Vladimir,100
Volmar,100
Hendrik,99
Ludwig,99
Poika,99
Robertino,99
Uula,99
Ananias,98
Damien,98
Ernfrid,98
Hasan,98
Janinpoika,98
Ernesto,97
Herkko,97
Huugo,97
Raino,97
Salama,97
Tapionpoika,97
Tore,97
Fernando,96
Jarmonpoika,96
Jeremy,96
Kumar,96
Theo,96
Walfrid,95
Anshelm,94
Ari-Pekka,94
Bernt,94
Erkko,94
Abbas,93
Artonpoika,93
Jack,93
Mikaeli,93
Nikolaus,93
Alvi,92
Finn,92
Jason,91
Juhonpoika,91
Kimmonpoika,91
Nathaniel,91
Aslan,90
Christofer,90
Edvart,90
Egil,90
Enok,90
Petja,90
Amir,89
Asmo,89
Caspian,89
Feodor,89
Jim,89
Asarias,88
Eirik,88
Mahmoud,88
Pentinpoika,88
Alessandro,87
Franz,87
Jama,87
Jan-Anders,87
Kunto,87
Willem,87
Abiel,86
Josua,86
Mies,86
Olov,86
Severus,85
Willehard,85
Abram,84
Jan-Olof,84
Jonny,84
Nicolai,84
Roobert,84
Sasu,84
Tahvo,84
Terno,84
Aden,83
Joeli,83
Sigvald,83
Steven,83
Vieno,83
Vilperi,83
Isac,82
Tristan,82
Wolfgang,82
Gilbert,81
Jarkonpoika,81
Pirkka,81
Reza,81
Volter,81
Andrea,80
Erich,80
Igor,80
Joa,80
Kristo,80
Kuutti,80
Leonel,80
Tuomonpoika,80
Volmari,80
Eliot,79
Ismael,79
Morris,79
Odin,79
Petrik,79
Saul,79
Tomminpoika,79
Turo,79
Carl-Gustav,78
Edmund,78
Fritiof,78
Joosef,78
Mustafa,78
Aati,77
Friedrich,77
Kaspar,77
Raikas,77
Reko,77
Sam,77
Simonpoika,77
Vilpertti,77
Francisco,76
Heinrich,76
Hung,76
Kallenpoika,76
Marcel,76
Mooses,76
Rene,76
Isaac,75
Mahamud,75
Maxim,75
Pietu,75
Timothy,75
Tuisku,75
Albinus,74
Crister,74
Farah,74
Hiskias,74
Mirko,74
Wihtori,74
Östen,74
Anh,73
Eduard,73
Kunnari,73
Reidar,73
Stefanus,73
Valeri,73
Valerian,73
Venneri,73
Frederick,72
Frederik,72
Morgan,72
Pertinpoika,72
Pierre,72
Samir,72
Stephen,72
Atro,71
Eduardo,71
José,71
Markuksenpoika,71
Thanh,71
Valpas,71
Aabraham,70
Aale,70
Antonius,70
Arhippa,70
Brian,70
Manne,70
Alec,69
Auno,69
