name;count
Maria;199618
Helena;124591
Anneli;122495
Johanna;112472
Kaarina;98629
Marjatta;88822
Hannele;86488
Kristiina;75079
Liisa;68631
Emilia;67530
Elina;64408
Sofia;59306
Tuulikki;59116
Maarit;57657
Annikki;57304
Susanna;56872
Leena;48859
Katariina;47886
Anna;46458
Marja;44696
Sinikka;43797
Inkeri;41604
Riitta;39096
Kyllikki;36280
Aino;36143
Tuula;35136
Anne;35053
Päivi;33781
Orvokki;32715
Ritva;32323
Maija;31792
Tellervo;31739
Karoliina;30441
Pirjo;30035
Pauliina;29930
Minna;29660
Sari;29394
Irmeli;28963
Eeva;27815
Tiina;27586
Eveliina;27190
Laura;26848
Marika;26562
Elisabet;26246
Tarja;26246
Pirkko;25509
Satu;25062
Mari;24424
Hanna;24247
Anja;24135
Heidi;23851
Seija;23837
Marita;23636
Annika;23440
Sirpa;23333
Jaana;22949
Raija;22896
Eila;22832
Irene;22741
Sisko;22551
Sanna;22524
Ilona;22453
Anita;22336
Eija;21882
Kirsi;21754
Amanda;21720
Julia;21576
Marianne;21575
Merja;20988
Katriina;20918
Matilda;20138
Arja;20097
Ulla;20027
Anni;19874
Elisabeth;19831
Kaisa;19709
Tuulia;19691
Marjaana;19659
Paula;19631
Marketta;19618
Elisa;19123
Sirkka;19006
Olivia;18970
Linnea;18950
Terttu;18869
Aurora;18787
Helmi;18104
Jenni;18017
Katja;17092
Iida;16997
Emma;16693
Heli;16583
Mirjami;16433
Nina;15930
Kirsti;15886
Hilkka;15772
Mirja;15505
Raili;15279
Anniina;15221
Maaria;15207
Birgitta;14789
Katri;14703
Sara;14551
Ida;14029
Kaija;13992
Suvi;13937
Ella;13891
Aleksandra;13552
Riikka;13519
Marjut;13505
Anu;13456
Tuija;13083
Saara;12990
Alexandra;12859
Niina;12435
Kerttu;12419
Pia;12344
Lea;12342
Aila;12189
Kristina;11939
Irma;11910
Noora;11792
Leila;11702
Marjo;11696
Jenna;11570
Tanja;11566
Marja-Leena;11511
Henna;11343
Irja;11250
Veera;11217
Aulikki;11125
Lotta;11108
Kati;11057
Margareta;11011
Ellen;10682
Hellevi;10570
Marja-Liisa;10532
Elsa;10403
Elli;10366
Mirjam;10276
Maritta;10266
Outi;10186
Alina;10075
Milla;10019
Emmi;9944
Taina;9869
Anna-Liisa;9804
Mervi;9796
Päivikki;9769
Miia;9687
Helinä;9554
Virpi;9506
Erika;9501
Venla;9445
