name,count
Tuula,31324
Anne,30532
Päivi,30176
Anna,29754
Ritva,29670
Leena,29001
Pirjo,28504
Sari,27827
Minna,27786
Marja,27094
Tiina,25965
Riitta,25734
Tarja,24938
Pirkko,23817
Laura,23522
Seija,22289
Aino,22079
Liisa,21971
Eeva,21916
Raija,21708
Sirpa,21632
Jaana,21533
Satu,21505
Heidi,21370
Anja,21338
Hanna,21309
Sanna,21089
Eija,20410
Eila,20313
Maria,20265
Merja,19808
Johanna,19495
Kirsi,19451
Arja,18957
Maija,18457
Paula,17946
Ulla,17636
Sirkka,16868
Jenni,16853
Elina,16271
Katja,15808
Mari,15150
Heli,15048
Anni,14925
Nina,14915
Raili,14433
Terttu,14346
Emma,14217
Hilkka,13748
Kirsti,13685
Mirja,13647
Helena,12791
Anu,12598
Kaija,12413
Tuija,12410
Sara,11816
Emilia,11717
Niina,11701
Kaisa,11311
Suvi,11251
Ella,11155
Pia,11113
Tanja,10960
Saara,10933
Sofia,10822
Aila,10809
Irma,10774
Jenna,10749
Leila,10550
Maarit,10435
Kati,10429
Katri,10379
Henna,10375
Marjo,10331
Veera,10162
Noora,10089
Lea,10070
Susanna,9772
Riikka,9666
Julia,9662
Iida,9541
Irja,9458
Marja-Leena,9430
Outi,9279
Mervi,9186
Kerttu,9173
Taina,9123
Sinikka,9118
Helmi,8944
Milla,8902
Jonna,8848
Virpi,8791
Emmi,8602
Venla,8584
Miia,8429
Marja-Liisa,8281
Sonja,8224
Tiia,8074
Marika,7743
Elli,7615
Siiri,7614
Lotta,7609
Terhi,7471
Elsa,7422
Sini,7329
Sanni,7322
Vilma,7206
Annika,7173
Sisko,7168
Mira,7047
Teija,7036
Ida,7017
Oona,6869
Mia,6804
Aune,6658
Anita,6582
Essi,6511
Aada,6448
Maire,6415
Nea,6405
Linda,6301
Piia,6230
Viivi,6199
Taru,6142
Airi,6141
Anneli,5929
Marita,5737
Petra,5735
Anna-Liisa,5520
Roosa,5499
Elisa,5491
Erja,5436
Salla,5410
Silja,5373
Pinja,5315
Iina,5282
Vuokko,5211
Ronja,5001
Amanda,4994
Krista,4863
Enni,4841
Inka,4819
Marjatta,4802
Riina,4724
Lilja,4711
Milja,4705
Helvi,4694
Olivia,4675
Jenny,4588
Marianne,4588
Marjut,4575
Aili,4525
Jasmin,4473
Martta,4417
Eveliina,4383
Eva,4351
Salme,4307
Soile,4293
Ilona,4262
Iiris,4259
Toini,4179
Eevi,4131
Saana,4086
Ellen,4080
Kristiina,4031
Anniina,3994
Elvi,3994
Katariina,3945
Asta,3918
Nelli,3908
Hannele,3901
Maija-Liisa,3897
Reetta,3879
Linnea,3812
Aira,3799
Auli,3766
Alisa,3762
Pihla,3741
Saija,3734
Sirkka-Liisa,3715
Laila,3688
Meeri,3680
Minttu,3642
Maiju,3607
Rauni,3582
Heini,3463
Jessica,3461
Armi,3421
Kaisu,3387
Eira,3380
Meri,3341
Nella,3334
Tuuli,3332
Taimi,3327
Matilda,3294
Erika,3188
Alina,3173
Camilla,3131
Pauliina,3123
Neea,3035
Mirva,2928
Sirkku,2917
Kaarina,2896
Janina,2892
Carita,2853
Hilla,2835
Karoliina,2834
Rauha,2824
Sylvi,2751
Eeva-Liisa,2750
Oili,2737
Minea,2699
Senja,2685
Elena,2679
Anna-Maija,2667
Soili,2666
Mila,2637
Jutta,2630
Olga,2613
Maila,2550
Irene,2520
Ada,2506
Alma,2501
Irina,2480
Peppi,2469
Margit,2468
Birgitta,2445
Lahja,2388
Tytti,2379
Netta,2360
Tea,2326
Alli,2323
Saimi,2259
Hilja,2257
Mirka,2251
Maritta,2222
Anne-Mari,2206
Viola,2206
Hilma,2185
Saga,2184
Kiia,2168
Lumi,2168
Marina,2156
Ulla-Maija,2154
Stella,2145
Mona,2136
Vieno,2132
Isla,2118
Iris,2107
Sandra,2095
Hilda,2091
Senni,2091
Helka,2085
Nora,2065
Saila,2060
Virve,2039
Kristina,2036
Vilja,2025
Aava,2016
Jemina,2008
Janika,1974
Annikki,1970
Aija,1967
Tyyne,1951
Aini,1947
Rosa,1923
Susanne,1921
Fanni,1905
Eine,1894
Fanny,1890
Karin,1887
Janette,1875
Tuire,1861
Wilma,1851
Taija,1849
Vappu,1845
Juulia,1837
Alexandra,1832
Katriina,1828
Rita,1802
Jade,1790
Heta,1789
Elma,1771
Selma,1771
Hanne,1767
Inga,1749
Natalia,1738
Janita,1725
Hertta,1724
Minja,1708
Reija,1701
Lilli,1699
Monica,1694
Moona,1681
Anette,1671
Riitta-Liisa,1668
Maisa,1645
Inkeri,1644
Vera,1642
Isabella,1637
Birgit,1635
Joanna,1631
Eerika,1591
Elsi,1588
Frida,1587
Marketta,1580
Varpu,1570
Salli,1569
Janna,1562
Vanessa,1544
Anna-Kaisa,1539
Seela,1534
Eini,1528
Mirjam,1525
Irmeli,1524
Heljä,1519
Aurora,1494
Mette,1480
Helli,1462
Titta,1447
Kia,1444
Helga,1441
Iisa,1426
Miisa,1421
Anna-Maria,1419
Tuulikki,1409
Kerstin,1406
Lena,1372
Christina,1370
Tilda,1367
Kiira,1364
Marjaana,1364
Ninni,1346
Raisa,1343
Brita,1328
Anitta,1321
Marja-Terttu,1316
Kirsi-Marja,1310
Aliisa,1282
Cecilia,1274
Mikaela,1265
Tuovi,1259
Tia,1257
Annukka,1250
Miina,1232
Thi,1228
Melissa,1213
Hanna-Mari,1200
Hanna-Leena,1192
Inger,1190
Ira,1180
Elin,1170
Lempi,1164
Kaisla,1159
Laina,1158
Reeta,1155
Helinä,1145
Kyllikki,1144
Henni,1143
Elise,1141
Anna-Mari,1134
Berit,1126
Siru,1119
Melina,1117
Marja-Riitta,1116
Daniela,1114
Tina,1105
Siv,1104
Barbro,1100
Lisa,1097
Marianna,1090
Raila,1089
Aura,1087
Carola,1085
Tuulia,1085
Sointu,1077
Malin,1070
Stina,1068
Svetlana,1067
Else,1060
Enna,1057
Katarina,1046
Solveig,1027
Saaga,1023
Neela,1021
Elle,1011
Anna-Leena,1007
Hely,1004
Karita,997
Liina,996
Pirkko-Liisa,994
Taika,994
Lilian,992
Mimosa,989
Saima,986
Valma,986
Pilvi,984
Tinja,981
Marie,976
Gunilla,971
Annina,968
Anne-Maria,966
Teresa,962
Juuli,961
Mea,957
Sanna-Mari,957
Marjo-Riitta,952
Carina,948
Erin,946
Kira,940
Lina,935
Säde,930
Diana,927
Inna,923
Maj-Britt,917
Leea,914
Victoria,905
Susan,904
Tessa,901
Virva,901
Ester,885
Sarah,884
Eliisa,883
Monika,880
Tatiana,879
Henriikka,874
Nanna,873
Hanna-Kaisa,861
Astrid,858
Gun,858
Milka,856
Greta,855
Janni,854
Maija-Leena,848
Riia,848
Vivian,846
Lyyli,840
Charlotta,839
Erica,833
Janica,833
Edith,827
Rebecca,819
Adele,816
Liisi,812
Alva,809
Aulikki,808
Josefiina,808
Marjukka,799
Nadja,796
Anne-Marie,794
Tellervo,787
Gunnel,784
Aida,783
Ansa,783
Åsa,783
Lyydia,782
Annu,778
Harriet,777
Mirella,773
Fiona,769
Jasmine,765
Mirjami,763
Maaret,762
Aleksandra,759
Bertta,759
Ingrid,755
Margareta,755
Jatta,754
Minka,751
Ebba,745
Nita,745
Pipsa,744
Rebekka,742
Nelly,731
Ruut,728
Sohvi,728
Verna,727
Mimmi,719
Gunvor,711
Benita,708
Annamari,704
Luna,701
Ruth,699
Iita,696
Onerva,695
Piritta,694
Suoma,690
Ekaterina,688
Lila,687
Isa,684
Pirita,681
Malla,678
Meea,677
Rea,673
Isabel,671
Ann-Mari,670
Aamu,667
Anastasia,664
Lilia,662
Ava,661
Iines,659
Sofie,654
Mailis,652
Unna,648
Alice,644
Selina,642
Doris,640
Orvokki,640
Mirkka,638
Inari,635
Minni,634
Annette,623
Amalia,621
Amelia,621
Matleena,617
Tove,612
Britta,608
Ann,607
Yvonne,607
Ina,605
Jennifer,604
Sarita,603
Viena,601
Sylvia,596
Ilmi,585
Pirjo-Riitta,585
Regina,582
Elna,579
Sabina,576
Elviira,571
Ilse,571
Hanna-Maria,565
Saini,564
Martina,563
Marju,562
Raakel,560
Maya,556
Maj-Lis,554
Milena,552
Ines,547
Elisabeth,545
Kaino,545
Patricia,542
Jasmiina,541
Siri,540
Livia,537
Christa,536
Tara,535
Carolina,532
Christel,530
Selja,529
Bea,527
Henna-Riikka,527
Galina,526
Ulrika,526
Helen,525
Sinna,518
Ritva-Liisa,515
Kielo,514
Valentina,514
Anne-Maarit,512
Emily,512
Hellevi,511
Eivor,510
Ida-Maria,510
Tatjana,510
Ria,508
Pirjo-Liisa,505
Eve,503
Impi,498
Lisbeth,494
Natalie,494
Signe,494
Linn,492
Jessika,490
Lydia,490
Siina,488
Veronica,485
Hillevi,483
Noomi,481
Eija-Liisa,477
Evelina,476
Sirja,475
Felicia,473
Sanna-Kaisa,473
Elisabet,472
Lara,472
Lily,470
Alissa,465
Eeva-Maria,463
Agneta,458
Charlotte,455
Claudia,455
Sofi,451
Maaria,449
Silva,448
Elvira,447
Eeva-Maija,446
Lili,446
Tua,445
Anna-Sofia,442
Meiju,442
Vilhelmiina,439
Sani,438
Sanna-Maria,438
Soila,436
Ellinoora,433
Esteri,431
Josefina,428
Nicole,428
Michelle,426
Helmiina,424
Loviisa,423
Tamara,421
Mary,415
Iida-Maria,414
Miranda,414
Agnes,411
Melinda,409
Nuppu,409
Julianna,407
Märta,407
Silvia,405
Stiina,404
Lumia,403
Jane,402
Anne-Maj,401
Assi,401
Teea,400
Christine,399
Nathalie,397
Michaela,394
Elea,393
Jelena,392
Hannamari,390
Liinu,390
Ulpu,390
Emelie,389
Nana,387
Fiia,386
Sarianna,385
Bettina,381
Maili,377
Roosa-Maria,377
Caroline,376
Jeanette,376
Hellä,375
Karla,375
Maj,375
Annemari,372
Gun-Britt,372
Heleena,370
Rakel,370
Hanna-Maija,368
Jannika,368
Amina,365
Veronika,365
Larissa,364
Aina,362
Moa,362
Sophie,362
Aliina,361
Briitta,360
Linnéa,360
Madeleine,359
Karolina,357
Amelie,356
Clara,353
Leena-Maija,353
Tiia-Maria,353
Alicia,351
Pamela,351
Milana,350
Ann-Marie,348
Kirsi-Maria,348
Eedit,347
Mandi,347
Viktoria,346
Minna-Liisa,345
Nenna,345
Jasmina,342
Jarna,338
Svea,338
Sophia,336
Hannah,335
Hellin,335
Raija-Liisa,335
Rebecka,335
Louna,333
Annastiina,331
Gretel,329
Mathilda,329
Miira,329
Beata,328
Mai,328
Aisha,326
Pernilla,325
Leeni,323
Lenita,322
Leona,322
Maja,321
Mariia,321
Mirja-Liisa,321
Ann-Christine,320
Anelma,317
Henrietta,317
Merita,316
Andrea,315
Lidia,315
Jenniina,310
Yasmin,309
Gerd,307
Vaula,305
Helene,303
Ramona,303
Edit,302
Rosanna,302
Rosita,302
Iitu,301
Maj-Len,301
Marit,301
Hulda,298
Bella,297
Göta,297
Riika,297
Samira,297
Jessi,296
Vivi,295
Kaarin,294
Eeva-Kaisa,293
Mariitta,293
Rut,293
Sanja,293
Beatrice,291
Erna,291
Sade,291
Sonia,291
Miriam,287
Mari-Anne,286
Lisbet,284
Ninja,284
Mariam,283
Hilppa,282
My,282
Hanna-Riikka,280
Salla-Mari,280
Annica,279
Thea,278
Ursula,278
Margarita,276
Carla,275
Kreetta,275
Salma,275
Anri,274
Arja-Liisa,274
Eeva-Riitta,274
Susa,274
Karina,273
Eeva-Leena,272
Jadessa,270
Nadia,270
Raita,270
Fatima,268
Bianca,266
Freja,266
Kaija-Leena,266
Angelica,264
Miila,263
Mariella,262
Anna-Riikka,260
Kajsa,260
Paulina,260
Viveka,259
Britt-Marie,258
Maikki,258
Lia,257
Micaela,257
Marlene,256
Edla,255
Justiina,255
Maija-Riitta,255
Naomi,255
Ylva,254
Henrika,253
Rosa-Maria,253
Jennie,252
Tiiu,252
Ann-Christin,251
Ninna,250
Melisa,249
Nette,249
Jenina,248
Viveca,248
Anna-Riitta,246
Arja-Leena,246
Klara,243
Hanni,242
Josefine,242
Louise,242
Susann,242
Adelina,239
Auri,239
Disa,239
Josefin,239
Zahra,239
Adessa,238
Auni,238
Emilie,238
Meri-Tuuli,238
Dina,237
Anna-Lena,236
Maini,235
Daria,234
Ruusa,234
Usva,234
Else-Maj,233
Maryam,232
Annakaisa,231
Amira,230
Angelina,230
Lilly,230
Sirke,230
Suvi-Tuuli,230
Rianna,229
Marke,228
Marleena,228
Sirpa-Liisa,228
Telma,228
Anna-Kaarina,227
Isabelle,226
Riitta-Leena,226
Aino-Maija,225
Eva-Maria,225
Hanna-Liisa,225
Sienna,225
Eeva-Kaarina,224
Klaara,224
Pieta,224
Liia,223
Evi,221
Jannica,221
Maia,221
Seidi,221
Arla,220
Britt,220
Leni,220
Minna-Maria,220
Sabrina,220
Kaija-Liisa,219
Merja-Liisa,219
Molly,219
Valeria,219
Juliana,218
Katrina,218
Ulla-Riitta,218
Aino-Maria,217
Ilta,217
Catharina,216
Laimi,216
Sanna-Maija,216
Sannamari,216
Tilde,216
Cassandra,215
Tinka,215
Emmiina,214
Gabriella,214
Lovisa,214
Sarianne,214
Hjördis,212
Ksenia,212
Noona,212
Janet,210
Solja,210
Ilma,209
Jennika,209
Nancy,209
Sigrid,209
Wilhelmiina,209
Anna-Lisa,208
Kukka,208
Pia-Maria,208
Ann-Sofie,207
Margita,207
Eliina,206
Larisa,205
Päivikki,205
Elmi,204
Heidi-Maria,204
Sanelma,204
May,203
Nadezda,203
Elizabeth,201
Marissa,201
Sanna-Leena,201
Sissi,201
Angela,200
Elli-Noora,200
Piitu,199
Kukka-Maaria,198
Liudmila,198
Tia-Maria,198
Alla,196
Eija-Riitta,196
Jana,196
Ellinor,195
Minna-Mari,195
Anne-Maija,194
Annie,194
Bodil,194
Catarina,193
Filippa,193
Magdalena,193
Reea,192
Lotte,191
Synnöve,191
Carmen,189
Sallamari,189
Etel,188
Adalmiina,187
Eleonora,187
Satu-Maarit,187
Ann-Britt,186
Mariel,186
Peppiina,186
Kiti,185
Marica,184
Ruusu,183
Sally,183
Vivan,183
Ani,181
Emmy,181
Jasmi,181
Kamilla,181
Polina,181
Sina,181
Antonia,180
Lyyti,180
Adelia,179
Katrin,179
Tekla,178
Ann-Sofi,177
Fia,177
Riitta-Maija,177
Annele,176
Celina,176
Cindy,175
Kaisa-Leena,175
Minerva,175
Gurli,174
Amy,173
Eden,173
Juliaana,173
Ana,172
Anne-Marja,172
Elizaveta,172
Gunhild,172
Suvi-Tuulia,172
Yulia,172
Liana,171
Mimi,171
Venny,171
Ella-Maria,169
Kirsikka,169
Kreeta,169
Adeliina,168
Tanya,168
Annamaija,167
Evita,167
Gertrud,167
Ingegerd,167
Tiina-Liisa,167
Denise,166
Tarja-Leena,166
Ljudmila,165
Inga-Lill,164
Marta,164
Esther,163
Lucia,163
Nellie,162
Fadumo,161
Meimi,161
