name;count
Maria;179353
Anneli;116566
Helena;111800
Kaarina;95733
Johanna;92977
Marjatta;84020
Hannele;82587
Kristiina;71048
Tuulikki;57707
Emilia;55813
Annikki;55334
Sofia;48484
Elina;48137
Maarit;47222
Susanna;47100
Liisa;46660
Katariina;43941
Inkeri;39960
Kyllikki;35136
Sinikka;34679
Orvokki;32075
Tellervo;30952
Karoliina;27607
Irmeli;27439
Pauliina;26807
Elisabet;25774
Eveliina;22807
Irene;20221
Leena;19858
Elisabeth;19286
Katriina;19090
Marika;18819
Tuulia;18606
Marjaana;18295
Ilona;18191
Marketta;18038
Marita;17899
Marja;17602
Aurora;17293
Marianne;16987
Matilda;16844
Amanda;16726
Anna;16704
Annika;16267
Anita;15754
Mirjami;15670
Sisko;15383
Linnea;15138
Maaria;14758
Olivia;14295
Aino;14064
Elisa;13632
Riitta;13362
Maija;13335
Aleksandra;12793
Birgitta;12344
Julia;11914
Anniina;11227
Alexandra;11027
Aulikki;10317
Margareta;10256
Hellevi;10059
Kristina;9903
Päivikki;9564
Mari;9274
Helmi;9160
Marjut;8930
Mirjam;8751
Vilhelmiina;8726
Helinä;8409
Kaisa;8398
Maritta;8044
Iida;7456
Josefiina;7432
Ida;7012
Alina;6902
Esteri;6627
Ellen;6602
Margit;6509
Hillevi;6379
Eliisa;6353
Erika;6313
Eeva;5899
Marjukka;5849
Christina;5559
Marie;5437
Annukka;5151
Henriikka;5103
Anni;4949
Onerva;4947
Mikaela;4941
Sylvia;4847
Juulia;4606
Katarina;4528
Terttu;4523
Anne;4521
Alice;4520
Aliisa;4472
Lyydia;4409
Isabella;4373
Talvikki;4341
Katri;4324
Anna-Liisa;4284
Viola;4189
Carita;4167
Ester;4117
Alisa;3999
Amalia;3957
Elise;3908
Susanne;3879
Riikka;3853
Tuula;3812
Jasmin;3797
Heleena;3664
Päivi;3605
Anitta;3557
Satu;3557
Maaret;3551
Eerika;3521
Lotta;3499
Cecilia;3463
Elviira;3388
Laura;3326
Ingeborg;3248
Kerttu;3246
Tuuli;3170
Wilhelmiina;3109
Lilja;3012
Josefina;3005
Charlotta;2988
Elsa;2981
Adele;2968
Hanna;2938
Eliina;2872
Matleena;2852
Martta;2821
Sanelma;2805
Marianna;2802
Anja;2797
Elli;2751
Ella;2736
Sara;2735
Aada;2703
Suvi;2686
Ritva;2653
Helmiina;2606
Camilla;2562
Eila;2519
Iiris;2503
Loviisa;2485
Heidi;2481
Emma;2476
Elena;2463
Linnéa;2455
Anelma;2408
Ulla;2391
Kirsi;2303
Lea;2272
Marja-Liisa;2251
Hilja;2209
Kirsti;2201
Victoria;2152
Sirkka;2138
Unelma;2099
Marja-Leena;2081
Saara;2057
Margaretha;2053
Anette;2052
Hilkka;2024
Annele;2015
Louise;2013
Roosa;1978
Astrid;1955
Lahja;1951
Regina;1923
Raakel;1910
Sini;1889
Eva;1882
Inari;1882
Aune;1876
Minna;1874
Aili;1870
Mirja;1858
Lumi;1856
Annina;1849
Piritta;1847
Aliina;1814
Siiri;1806
Marina;1798
Lydia;1796
Irja;1792
Ulrika;1787
Ingrid;1740
Karin;1734
Krista;1724
Noora;1703
Adalmiina;1702
Sirpa;1701
Pirkko;1692
Paula;1685
Irina;1681
Joanna;1681
Christine;1657
Teresa;1646
Tiina;1621
Ada;1593
Kaija;1579
Reetta;1567
Sari;1567
Birgit;1559
Jessica;1555
Edith;1549
Seija;1548
Heli;1535
Pirjo;1531
Meri;1498
Karita;1493
Hellin;1490
Isabel;1483
Carolina;1478
Anastasia;1477
Eija;1472
Valpuri;1460
Linda;1454
Karolina;1438
Sanna;1435
Jaana;1416
Vappu;1412
Hilma;1408
Mariia;1408
Marleena;1400
Henrietta;1397
Jenny;1390
Alma;1384
Aila;1380
Wilhelmina;1375
Siviä;1370
Minea;1366
Marjo;1365
Rauha;1364
Viktoria;1349
Hilda;1345
Emmi;1342
Tarja;1308
Olga;1303
Sofie;1295
Katja;1284
Inka;1283
Rosa;1280
Patricia;1279
Charlotte;1278
Ingegerd;1277
Terhikki;1275
Daniela;1274
Helvi;1268
Miia;1258
Monica;1256
Jemina;1242
Gunilla;1234
Kanerva;1232
Pia;1231
Rebekka;1231
Helene;1228
Iina;1217
Eleonoora;1216
Janina;1203
Raija;1188
Vuokko;1184
Merja;1180
Aava;1178
Ursula;1169
Mimosa;1165
Jenni;1164
Eleonora;1160
Leila;1152
Erica;1146
Arja;1140
Irma;1136
Maire;1134
Enni;1118
Milla;1117
Fredrika;1112
Mariitta;1111
Justiina;1100
Iris;1097
Maija-Liisa;1097
Amelia;1089
Lilian;1085
Oona;1082
Natalia;1078
Mia;1076
Lempi;1073
Minttu;1066
Veera;1055
Lovisa;1048
Janika;1046
Magdalena;1042
Rakel;1039
Monika;1024
Auroora;1021
Milja;1020
Nina;1015
Vieno;1014
Meeri;1005
Riina;1000
Liina;986
Tyyne;986
Beatrice;985
Selina;984
Henrika;982
Serafiina;981
Jasmiina;978
Elvira;977
Elizabeth;974
Henna;968
Janette;962
Mirella;961
Sanni;956
Vellamo;953
Kirsikka;951
Nea;948
Carina;941
Mohamed;941
Melissa;937
Veronica;935
Fanny;933
Vilhelmina;925
Tiia;921
Aurelia;916
Outi;907
Adeliina;902
Pirita;900
Kaarin;895
Sylvi;894
Teresia;892
Eevi;890
Vanamo;888
Helen;887
Margareetta;885
Silja;883
Elvi;882
Anna-Maria;878
Carola;877
Lumia;869
Peppiina;869
Vanessa;864
Agneta;861
Venla;861
Kerttuli;860
Janita;859
Anu;858
Susan;858
Annette;857
Vivian;856
Harriet;852
Solveig;852
Raili;846
Martina;843
Taimi;839
Petra;837
Maarika;834
Jasmine;826
Lisa;825
Lemmikki;823
Jenna;821
Margareeta;819
Viivi;816
Amelie;814
Säde;805
Saga;804
Saimi;804
Mariella;800
Isla;799
Madeleine;799
Melina;798
Paulina;797
Mathilda;796
Vilma;789
Tytti;786
Evelina;776
Edit;771
Reeta;757
Taina;746
Caroline;743
Lyyli;735
Niina;734
Asta;723
Piia;723
Toini;722
Juliaana;716
Soilikki;716
Virpi;715
Aini;713
Alli;704
Yvonne;703
Kaisu;698
Kastehelmi;696
Airi;694
Sonja;692
Annikka;681
Marlene;680
Dagmar;676
